opportunity_id,sales_agent,manager,regional_office,product,account,sector,deal_stage,engage_date,close_date,close_value
021Z2J9L,"Markita Hansen","Celia Rouche","West","GTK 500",Rundofase,technology,Engaging,2017-07-23,NULL,NULL
02EC1993,"Moses Frase","Dustin Brinkmann","Central","MG Special",Scottech,marketing,Won,2017-08-31,2017-11-08,57
02G0NJCN,"Vicki Laflamme","Celia Rouche","West","MG Special",Xx-holding,finance,Won,2017-10-17,2017-10-26,68
02ILGBRB,"Moses Frase","Dustin Brinkmann","Central","MG Special",dambase,marketing,Lost,2017-09-16,2017-11-21,0
02K37JAK,"Jonathan Berthelot","Melvin Marxen","Central","GTX Plus Basic",NULL,NULL,Engaging,2017-07-21,NULL,NULL
02LUGFJS,"Cassey Cress","Rocco Neubert","East","GTX PRO",Plussunin,retail,Won,2017-09-25,2017-09-28,4308
02SSRMSA,"Lajuana Vencill","Dustin Brinkmann","Central","GTX Plus Basic",Inity,marketing,Won,2017-07-09,2017-07-13,1192
02TUKBP3,"Moses Frase","Dustin Brinkmann","Central","MG Special",Zumgoity,medical,Lost,2017-09-25,2017-11-30,0
031BBF1I,"Versie Hillebrand","Dustin Brinkmann","Central","MG Special",Finhigh,finance,Won,2017-02-02,2017-03-30,54
03CWYGC9,"Kami Bicknell","Summer Sewald","West","GTX Plus Basic",Hottechi,technology,Won,2017-05-08,2017-08-10,768
03H4RXBI,"Zane Levy","Summer Sewald","West","GTX Basic",Y-corporation,employment,Won,2017-10-09,2017-12-17,482
03O9FNTZ,"Daniell Hammack","Rocco Neubert","East","GTX Plus Basic","Bluth Company",technology,Won,2017-07-07,2017-07-09,1107
03P9VXWG,"Darcel Schlecht","Melvin Marxen","Central","GTX Basic",NULL,NULL,Prospecting,NULL,NULL,NULL
03R1VC7O,"Donn Cantrell","Rocco Neubert","East","GTX Plus Basic",Condax,medical,Won,2017-10-15,2017-10-28,1062
03VCDZEE,"Maureen Marcano","Summer Sewald","West","GTX PRO",NULL,NULL,Engaging,2017-02-23,NULL,NULL
03X37HOO,"Darcel Schlecht","Melvin Marxen","Central","MG Special",Zumgoity,medical,Lost,2017-10-16,2017-10-17,0
041Q1IZL,"Zane Levy","Summer Sewald","West","GTX PRO",Green-Plus,services,Engaging,2017-08-15,NULL,NULL
045D5MZO,"Zane Levy","Summer Sewald","West","GTX Plus Pro",Kan-code,software,Won,2017-07-08,2017-07-17,5576
04AOWMXV,"Anna Snelling","Dustin Brinkmann","Central","GTX Basic",Codehow,software,Won,2017-12-11,2017-12-28,537
04G3DK6T,"Moses Frase","Dustin Brinkmann","Central","MG Special",Warephase,services,Won,2017-11-09,2017-11-21,54
04LU4OPA,"Daniell Hammack","Rocco Neubert","East","GTX Plus Pro","Acme Corporation",technology,Won,2017-04-10,2017-06-11,5721
04OAV3CV,"Elease Gluck","Celia Rouche","West","GTX Plus Pro",NULL,NULL,Engaging,2017-05-17,NULL,NULL
04SCU6DK,"Corliss Cosme","Cara Losch","East","MG Advanced",NULL,NULL,Engaging,2017-07-01,NULL,NULL
04SQ7RNY,"Vicki Laflamme","Celia Rouche","West","GTX PRO",Fasehatice,retail,Won,2017-08-29,2017-12-19,4577
04T6SOQW,"Kami Bicknell","Summer Sewald","West","GTX Basic",NULL,NULL,Engaging,2017-08-06,NULL,NULL
04YBYVPV,"Reed Clapper","Rocco Neubert","East","GTX PRO",Ganjaflex,retail,Won,2017-08-22,2017-09-02,4649
04YGLJ3N,"Kary Hendrixson","Summer Sewald","West","GTX Plus Pro",NULL,NULL,Engaging,2017-03-17,NULL,NULL
051QTX8Z,"Niesha Huffines","Melvin Marxen","Central","GTX Plus Basic","Globex Corporation",technology,Won,2016-11-26,2017-03-21,1080
0558PJL2,"Corliss Cosme","Cara Losch","East","GTX Basic",NULL,NULL,Engaging,2017-09-11,NULL,NULL
055Z2OAS,"Anna Snelling","Dustin Brinkmann","Central","MG Special",Dontechi,software,Engaging,2017-07-19,NULL,NULL
05915PPX,"Kami Bicknell","Summer Sewald","West","MG Advanced",Xx-holding,finance,Won,2017-08-20,2017-11-19,3517
059K86LU,"Kami Bicknell","Summer Sewald","West","GTX Plus Pro",Labdrill,medical,Engaging,2017-08-26,NULL,NULL
05DTWSVC,"Niesha Huffines","Melvin Marxen","Central","MG Special","Genco Pura Olive Oil Company",retail,Lost,2017-01-29,2017-05-05,0
05HLE3JL,"Anna Snelling","Dustin Brinkmann","Central","GTX Basic",Stanredtax,finance,Won,2017-09-01,2017-12-03,514
05QMFSF0,"Darcel Schlecht","Melvin Marxen","Central","GTX PRO",Toughzap,retail,Lost,2017-03-03,2017-05-16,0
066V2ZGP,"Anna Snelling","Dustin Brinkmann","Central","MG Advanced",Rangreen,technology,Won,2017-04-28,2017-08-14,3334
06AIY3IS,"Marty Freudenburg","Melvin Marxen","Central","GTX Plus Pro",Condax,medical,Won,2017-06-02,2017-08-21,5712
06B7XWPC,"Kary Hendrixson","Summer Sewald","West","GTX PRO",Sonron,telecommunications,Won,2017-01-02,2017-03-17,4125
06C1N1F7,"Elease Gluck","Celia Rouche","West","MG Special",NULL,NULL,Engaging,2017-10-05,NULL,NULL
06DUY829,"Versie Hillebrand","Dustin Brinkmann","Central","MG Special",Ron-tech,medical,Won,2017-03-30,2017-04-08,59
06H63NKF,"Darcel Schlecht","Melvin Marxen","Central","GTX PRO",Conecom,technology,Lost,2017-09-14,2017-11-20,0
06KTPHYC,"Rosalina Dieter","Celia Rouche","West","MG Advanced",Hottechi,technology,Lost,2017-07-16,2017-07-24,0
06T2UPDG,"Cecily Lampkin","Dustin Brinkmann","Central","MG Special",dambase,marketing,Lost,2017-02-24,2017-06-05,0
06YBVWXZ,"Kami Bicknell","Summer Sewald","West","GTX PRO",Condax,medical,Lost,2017-03-23,2017-04-03,0
06YL7WVJ,"Darcel Schlecht","Melvin Marxen","Central","GTX Plus Basic",Ron-tech,medical,Won,2017-03-19,2017-03-21,929
070M5M6X,"Maureen Marcano","Summer Sewald","West","GTX PRO",Green-Plus,services,Won,2017-01-13,2017-03-25,4071
072ELFQF,"Lajuana Vencill","Dustin Brinkmann","Central","MG Advanced",Isdom,medical,Lost,2017-07-01,2017-07-03,0
073UCD9F,"Gladys Colclough","Melvin Marxen","Central","MG Special",Betatech,medical,Lost,2017-09-05,2017-12-10,0
075SHVO3,"Vicki Laflamme","Celia Rouche","West","MG Special",Plexzap,retail,Lost,2017-05-23,2017-08-12,0
07BT6PBZ,"Moses Frase","Dustin Brinkmann","Central","MG Special",Treequote,telecommunications,Won,2017-04-20,2017-05-02,58
07DPEL0B,"Anna Snelling","Dustin Brinkmann","Central","GTX Basic",Cancity,retail,Won,2017-09-13,2017-11-25,629
07FRJ44N,"Gladys Colclough","Melvin Marxen","Central","GTX Plus Pro",Cancity,retail,Lost,2017-06-25,2017-07-03,0
07GUKIG3,"Violet Mclelland","Cara Losch","East","MG Special",NULL,NULL,Engaging,2017-12-05,NULL,NULL
07WKR17A,"Gladys Colclough","Melvin Marxen","Central","GTX Plus Pro",Treequote,telecommunications,Won,2017-06-27,2017-09-17,6193
086279IX,"Kary Hendrixson","Summer Sewald","West","GTX PRO",Kan-code,software,Won,2017-03-15,2017-06-14,4369
08APB75Q,"Lajuana Vencill","Dustin Brinkmann","Central","GTX Basic",Isdom,medical,Won,2017-02-05,2017-05-13,501
08EX3XKE,"Daniell Hammack","Rocco Neubert","East","MG Special","The New York Inquirer",medical,Won,2017-04-25,2017-05-01,51
08KE6ZQN,"Boris Faz","Rocco Neubert","East","MG Advanced","Vehement Capital Partners",finance,Won,2017-03-31,2017-04-01,2819
08O63ECM,"Donn Cantrell","Rocco Neubert","East","MG Advanced","Gekko & Co",retail,Won,2017-08-26,2017-12-01,3281
08Q8A6M9,"Marty Freudenburg","Melvin Marxen","Central","MG Special",Scottech,marketing,Won,2017-06-05,2017-06-22,60
093R7PK9,"Vicki Laflamme","Celia Rouche","West","MG Special",Zoomit,entertainment,Won,2017-03-15,2017-06-11,52
09AILR04,"Darcel Schlecht","Melvin Marxen","Central","GTX PRO",Statholdings,employment,Won,2017-10-21,2017-10-29,4732
09BVA55J,"Zane Levy","Summer Sewald","West","GTX Basic",Scotfind,software,Won,2017-02-19,2017-06-25,598
09C4GR2W,"Vicki Laflamme","Celia Rouche","West","GTX Plus Basic",Groovestreet,retail,Won,2017-05-05,2017-08-10,1151
09GK47AY,"Garret Kinder","Cara Losch","East","GTX Plus Basic",Ontomedia,employment,Lost,2017-07-29,2017-08-02,0
09P7O0LQ,"Cecily Lampkin","Dustin Brinkmann","Central","MG Special",Finhigh,finance,Won,2017-06-08,2017-09-13,60
09RN3MHV,"Vicki Laflamme","Celia Rouche","West","GTX PRO",Kan-code,software,Won,2017-05-26,2017-09-21,5074
09W047QT,"Donn Cantrell","Rocco Neubert","East","GTX PRO","Umbrella Corporation",finance,Won,2017-07-05,2017-08-10,4565
09YE9QOV,"Hayden Neloms","Celia Rouche","West","MG Advanced",Finjob,employment,Won,2016-11-05,2017-03-11,3393
0A1LN7GB,"Violet Mclelland","Cara Losch","East","MG Special",NULL,NULL,Engaging,2017-03-09,NULL,NULL
0AJ6LTZ0,"Kami Bicknell","Summer Sewald","West","GTX Basic",Golddex,finance,Won,2017-02-03,2017-03-14,622
0AN86YDG,"Maureen Marcano","Summer Sewald","West","GTX Plus Basic",Groovestreet,retail,Won,2017-04-16,2017-04-24,1234
0AQGBN7B,"Maureen Marcano","Summer Sewald","West","GTX Plus Basic",NULL,NULL,Engaging,2017-05-08,NULL,NULL
0AR9HD16,"Darcel Schlecht","Melvin Marxen","Central","GTX Basic",Funholding,finance,Won,2017-05-06,2017-08-17,526
0AXGVKN8,"Garret Kinder","Cara Losch","East","MG Special","Acme Corporation",technology,Won,2017-02-24,2017-05-28,55
0B09WODM,"Boris Faz","Rocco Neubert","East","GTX Plus Basic",Mathtouch,marketing,Lost,2017-10-24,2017-10-26,0
0BG8WJSX,"Maureen Marcano","Summer Sewald","West","GTX Basic",Finjob,employment,Lost,2017-05-11,2017-05-22,0
0BQTT5UF,"Marty Freudenburg","Melvin Marxen","Central","GTX PRO",Donware,marketing,Prospecting,NULL,NULL,NULL
0BSYDRMT,"Reed Clapper","Rocco Neubert","East","MG Special","Bluth Company",technology,Won,2017-06-30,2017-09-18,60
0BYU67KG,"Wilburn Farren","Cara Losch","East","MG Advanced",Ganjaflex,retail,Lost,2017-10-01,2017-12-13,0
0C34Z5UZ,"Gladys Colclough","Melvin Marxen","Central","GTX PRO",NULL,NULL,Prospecting,NULL,NULL,NULL
0CECGPEJ,"Moses Frase","Dustin Brinkmann","Central","MG Advanced",NULL,NULL,Prospecting,NULL,NULL,NULL
0CR37ETK,"Corliss Cosme","Cara Losch","East","MG Advanced",NULL,NULL,Engaging,2017-11-05,NULL,NULL
0CSJCW8I,"Vicki Laflamme","Celia Rouche","West","GTX PRO",Finjob,employment,Won,2017-04-27,2017-05-17,4406
0CTHPQGT,"Jonathan Berthelot","Melvin Marxen","Central","MG Special",Cancity,retail,Won,2017-07-09,2017-07-19,53
0D37PQA0,"Violet Mclelland","Cara Losch","East","GTX Plus Basic",NULL,NULL,Engaging,2017-07-08,NULL,NULL
0D8Y5JA0,"Anna Snelling","Dustin Brinkmann","Central","GTX Plus Pro",NULL,NULL,Prospecting,NULL,NULL,NULL
0D95JSVW,"James Ascencio","Summer Sewald","West","GTX Plus Pro",Hatfan,services,Won,2017-07-02,2017-09-16,6192
0DDBDPJU,"Lajuana Vencill","Dustin Brinkmann","Central","GTX Basic",Funholding,finance,Won,2017-05-20,2017-08-05,557
0DFXFKT7,"Darcel Schlecht","Melvin Marxen","Central","GTX Plus Basic",Rundofase,technology,Lost,2016-11-17,2017-03-21,0
0DLEXLEV,"Boris Faz","Rocco Neubert","East","GTX Plus Pro",Yearin,retail,Won,2017-06-01,2017-09-07,6117
0DRC1U9Q,"Maureen Marcano","Summer Sewald","West","GTX Basic",Green-Plus,services,Engaging,2016-11-20,NULL,NULL
0DY00J6O,"Maureen Marcano","Summer Sewald","West","GTX Plus Pro",Xx-holding,finance,Won,2017-11-28,2017-12-11,5886
0DYZ71WX,"Reed Clapper","Rocco Neubert","East","GTX Basic",Ganjaflex,retail,Won,2017-11-02,2017-11-16,585
0E1HHXGB,"Violet Mclelland","Cara Losch","East","MG Special",Donware,marketing,Lost,2017-10-13,2017-10-15,0
0E761F02,"Kary Hendrixson","Summer Sewald","West","GTX Basic",Kan-code,software,Won,2017-03-16,2017-05-02,579
0E8D6TCQ,"Moses Frase","Dustin Brinkmann","Central","GTX Plus Basic",NULL,NULL,Prospecting,NULL,NULL,NULL
0EOFVU05,"Donn Cantrell","Rocco Neubert","East","MG Advanced",Ontomedia,employment,Won,2016-12-09,2017-03-28,3421
0EX7ML4W,"Gladys Colclough","Melvin Marxen","Central","GTX Plus Pro",Finhigh,finance,Lost,2017-03-10,2017-05-10,0
0EYXI1UN,"Hayden Neloms","Celia Rouche","West","MG Advanced",NULL,NULL,Engaging,2017-04-19,NULL,NULL
0F9GSZRO,"Moses Frase","Dustin Brinkmann","Central","GTX Basic",Bioholding,medical,Lost,2017-08-05,2017-11-11,0
0FGWN6O0,"Moses Frase","Dustin Brinkmann","Central","GTX Basic",Isdom,medical,Won,2017-07-10,2017-07-19,588
0FIG6ZP2,"Daniell Hammack","Rocco Neubert","East","GTX Plus Basic","Massive Dynamic",entertainment,Won,2017-03-08,2017-06-27,1142
0FLFT1R4,"Corliss Cosme","Cara Losch","East","GTX Basic","Massive Dynamic",entertainment,Won,2017-05-19,2017-08-03,516
0FST40LV,"Anna Snelling","Dustin Brinkmann","Central","MG Special",Streethex,retail,Won,2017-03-13,2017-05-25,52
0G0S9TB8,"Donn Cantrell","Rocco Neubert","East","GTX PRO",Ontomedia,employment,Lost,2017-05-05,2017-08-13,0
0G65AQVC,"James Ascencio","Summer Sewald","West","GTX Basic",Kan-code,software,Lost,2017-04-05,2017-05-30,0
0GJ586J0,"Markita Hansen","Celia Rouche","West","MG Special",Sunnamplex,marketing,Lost,2017-02-27,2017-03-14,0
0GM4GDFT,"Daniell Hammack","Rocco Neubert","East","GTX PRO","Bluth Company",technology,Lost,2017-10-19,2017-10-28,0
0GRGY09E,"Darcel Schlecht","Melvin Marxen","Central","GTX PRO",Rangreen,technology,Lost,2017-09-21,2017-11-25,0
0GS0L5VR,"Anna Snelling","Dustin Brinkmann","Central","MG Special",NULL,NULL,Engaging,2017-08-14,NULL,NULL
0GTJE2VQ,"Wilburn Farren","Cara Losch","East","GTX Basic","Gekko & Co",retail,Won,2017-03-20,2017-06-14,497
0GXXCA37,"Darcel Schlecht","Melvin Marxen","Central","GTX PRO",Domzoom,entertainment,Won,2017-04-17,2017-05-01,4226
0GYOOM2R,"Jonathan Berthelot","Melvin Marxen","Central","GTX PRO",Scottech,marketing,Lost,2017-08-18,2017-08-25,0
0H4AHJRI,"Daniell Hammack","Rocco Neubert","East","GTX Basic","Bubba Gump",software,Lost,2017-05-14,2017-06-01,0
0H9C9J03,"Markita Hansen","Celia Rouche","West","GTX Plus Basic",NULL,NULL,Engaging,2017-08-25,NULL,NULL
0HB6OUIN,"Gladys Colclough","Melvin Marxen","Central","GTX PRO",Condax,medical,Lost,2017-03-29,2017-05-20,0
0HELH2Q0,"James Ascencio","Summer Sewald","West","GTX Plus Basic",Cheers,entertainment,Lost,2017-02-26,2017-05-29,0
0HR4TEU4,"Marty Freudenburg","Melvin Marxen","Central","GTX Plus Basic",Plussunin,retail,Prospecting,NULL,NULL,NULL
0HUWQWOJ,"Markita Hansen","Celia Rouche","West","MG Special",NULL,NULL,Engaging,2017-10-09,NULL,NULL
0HVUV9OY,"Gladys Colclough","Melvin Marxen","Central","GTX Basic",NULL,NULL,Engaging,2017-07-21,NULL,NULL
0I6U3MQ6,"Violet Mclelland","Cara Losch","East","GTX Basic",Funholding,finance,Engaging,2017-01-12,NULL,NULL
0IAJNXTD,"Darcel Schlecht","Melvin Marxen","Central","MG Special",Domzoom,entertainment,Lost,2017-10-08,2017-10-10,0
0IF5FH68,"Jonathan Berthelot","Melvin Marxen","Central","GTX Plus Pro",Domzoom,entertainment,Won,2017-04-20,2017-08-03,5203
0IO00FNS,"Darcel Schlecht","Melvin Marxen","Central","GTX PRO",Warephase,services,Lost,2016-12-28,2017-03-16,0
0IO43YMS,"Wilburn Farren","Cara Losch","East","MG Advanced",NULL,NULL,Engaging,2017-02-20,NULL,NULL
0ISX53T3,"Lajuana Vencill","Dustin Brinkmann","Central","GTX Basic","Globex Corporation",technology,Won,2017-10-06,2017-12-21,453
0IYQX303,"Reed Clapper","Rocco Neubert","East","GTX PRO",Donquadtech,technology,Won,2017-01-11,2017-03-17,4905
0J21WQH1,"Kami Bicknell","Summer Sewald","West","GTX Plus Basic",Fasehatice,retail,Lost,2017-04-02,2017-04-14,0
0J24X1Y0,"Kami Bicknell","Summer Sewald","West","MG Special",Lexiqvolax,medical,Won,2017-09-06,2017-09-15,56
0J3UU8PZ,"Boris Faz","Rocco Neubert","East","GTX Basic",Zathunicon,retail,Won,2017-10-22,2017-12-30,546
0K59ZLQC,"Corliss Cosme","Cara Losch","East","GTX Basic",Donquadtech,technology,Engaging,2017-05-18,NULL,NULL
0KEO3OP7,"Daniell Hammack","Rocco Neubert","East","GTX Plus Pro",NULL,NULL,Engaging,2017-04-27,NULL,NULL
0KRVN3V5,"Anna Snelling","Dustin Brinkmann","Central","MG Advanced",Hatfan,services,Engaging,2017-07-21,NULL,NULL
0KSK9O00,"Lajuana Vencill","Dustin Brinkmann","Central","GTX Basic","Bluth Company",technology,Prospecting,NULL,NULL,NULL
0KVZKA5T,"Vicki Laflamme","Celia Rouche","West","MG Special",Konex,technology,Lost,2017-07-18,2017-07-25,0
0KWYQTQQ,"Rosalina Dieter","Celia Rouche","West","MG Special",NULL,NULL,Engaging,2017-11-10,NULL,NULL
0L3VYSKY,"Niesha Huffines","Melvin Marxen","Central","GTX Basic",Isdom,medical,Lost,2017-08-23,2017-09-05,0
0LDX9VLO,"Versie Hillebrand","Dustin Brinkmann","Central","MG Special",Scottech,marketing,Lost,2017-06-14,2017-08-11,0
0LMA8GMJ,"Rosie Papadopoulos","Cara Losch","East","GTX Plus Pro","Bubba Gump",software,Won,2017-03-15,2017-05-10,4983
0LNZRNEU,"Violet Mclelland","Cara Losch","East","GTX Basic",Zencorporation,technology,Won,2017-01-02,2017-03-29,542
0LRVHITK,"Violet Mclelland","Cara Losch","East","MG Special",NULL,NULL,Engaging,2017-06-16,NULL,NULL
0LTBCZHI,"Niesha Huffines","Melvin Marxen","Central","MG Advanced",Treequote,telecommunications,Won,2017-09-13,2017-11-30,3902
0LVWSWEW,"Violet Mclelland","Cara Losch","East","MG Special",Donquadtech,technology,Won,2016-11-25,2017-03-06,65
0M3NCPQX,"Versie Hillebrand","Dustin Brinkmann","Central","MG Special",NULL,NULL,Engaging,2017-07-30,NULL,NULL
0M4K6F8Q,"Gladys Colclough","Melvin Marxen","Central","GTX Basic",NULL,NULL,Prospecting,NULL,NULL,NULL
0MKW8IPC,"Donn Cantrell","Rocco Neubert","East","GTX Basic",Xx-zobam,entertainment,Won,2017-07-26,2017-07-28,554
0MMDQ1OR,"Lajuana Vencill","Dustin Brinkmann","Central","GTX Basic",Codehow,software,Won,2017-09-10,2017-11-12,511
0MNAGD91,"Moses Frase","Dustin Brinkmann","Central","MG Advanced",Betatech,medical,Won,2017-06-24,2017-07-05,3355
0MPEK4ZA,"Donn Cantrell","Rocco Neubert","East","GTX Plus Basic",Donquadtech,technology,Lost,2017-06-26,2017-09-18,0
0MXZ36G7,"Corliss Cosme","Cara Losch","East","GTX Basic","Bubba Gump",software,Won,2017-10-03,2017-10-04,616
0MZIJDPM,"Elease Gluck","Celia Rouche","West","MG Special",Faxquote,telecommunications,Won,2017-05-13,2017-09-13,54
0N11U6L3,"Daniell Hammack","Rocco Neubert","East","GTX Plus Basic","Acme Corporation",technology,Engaging,2017-10-30,NULL,NULL
0N2VYY6Z,"Markita Hansen","Celia Rouche","West","GTX Basic",Labdrill,medical,Lost,2017-08-30,2017-09-19,0
0NKINI7S,"Lajuana Vencill","Dustin Brinkmann","Central","MG Special",Toughzap,retail,Won,2017-10-14,2017-10-16,42
0NO04P6C,"Hayden Neloms","Celia Rouche","West","MG Special",Nam-zim,services,Won,2016-12-02,2017-03-04,59
0NP0XPLQ,"Versie Hillebrand","Dustin Brinkmann","Central","MG Special",Toughzap,retail,Won,2017-08-31,2017-09-03,59
0NSRB3EO,"Jonathan Berthelot","Melvin Marxen","Central","MG Special",NULL,NULL,Engaging,2017-07-20,NULL,NULL
0OESOJNN,"James Ascencio","Summer Sewald","West","GTX Plus Basic",Warephase,services,Engaging,2017-01-17,NULL,NULL
0OHEJOI5,"Corliss Cosme","Cara Losch","East","MG Advanced",NULL,NULL,Engaging,2017-08-13,NULL,NULL
0OJE7J6C,"Corliss Cosme","Cara Losch","East","GTX Plus Pro","Gekko & Co",retail,Won,2017-12-09,2017-12-17,5143
0ONK3WET,"Cassey Cress","Rocco Neubert","East","GTX PRO","Massive Dynamic",entertainment,Won,2017-11-18,2017-11-21,4243
0OOZE4GN,"Rosie Papadopoulos","Cara Losch","East","GTX Plus Pro",Zotware,software,Lost,2017-02-26,2017-03-03,0
0ORRC53X,"Zane Levy","Summer Sewald","West","GTX Basic",Finjob,employment,Won,2017-06-08,2017-09-08,520
0OXJ2HOP,"Markita Hansen","Celia Rouche","West","MG Advanced",Dalttechnology,software,Won,2017-10-31,2017-11-11,4058
0P4AAPYX,"Hayden Neloms","Celia Rouche","West","GTX Plus Basic",Golddex,finance,Won,2016-12-02,2017-03-03,1040
0P8NFYML,"Cassey Cress","Rocco Neubert","East","MG Special",Betasoloin,medical,Lost,2017-05-06,2017-05-24,0
0PGJNCD7,"Anna Snelling","Dustin Brinkmann","Central","GTX Basic",dambase,marketing,Won,2017-04-16,2017-06-23,626
0PH153YF,"Gladys Colclough","Melvin Marxen","Central","GTX PRO",Condax,medical,Lost,2017-07-12,2017-07-13,0
0PSKGNYE,"Niesha Huffines","Melvin Marxen","Central","GTX Basic",Gogozoom,telecommunications,Won,2017-04-11,2017-04-12,504
0PT4RY4P,"Cecily Lampkin","Dustin Brinkmann","Central","MG Advanced",NULL,NULL,Engaging,2017-07-31,NULL,NULL
0PUDG8KY,"Cassey Cress","Rocco Neubert","East","GTX Basic",Zathunicon,retail,Lost,2017-08-12,2017-08-24,0
0PXJYUT7,"Niesha Huffines","Melvin Marxen","Central","GTX Plus Basic",NULL,NULL,Prospecting,NULL,NULL,NULL
0QHI3KG5,"Reed Clapper","Rocco Neubert","East","MG Advanced",Xx-zobam,entertainment,Won,2017-02-25,2017-06-10,3075
0QMDTHBS,"Jonathan Berthelot","Melvin Marxen","Central","MG Special",NULL,NULL,Prospecting,NULL,NULL,NULL
0QMOIDET,"James Ascencio","Summer Sewald","West","GTX Plus Basic",Konex,technology,Won,2017-11-24,2017-12-11,1049
0QPZIIPF,"Vicki Laflamme","Celia Rouche","West","GTX Plus Basic",Donware,marketing,Engaging,2017-03-27,NULL,NULL
0QUXNGR1,"Cecily Lampkin","Dustin Brinkmann","Central","MG Advanced",Warephase,services,Lost,2017-10-13,2017-10-18,0
0QV1LRME,"Jonathan Berthelot","Melvin Marxen","Central","GTX Plus Basic",Konmatfix,marketing,Won,2017-07-11,2017-07-18,1258
0R1F3OIN,"Daniell Hammack","Rocco Neubert","East","MG Advanced",Bioplex,medical,Won,2017-08-15,2017-08-22,2682
0R5KAHNB,"Moses Frase","Dustin Brinkmann","Central","MG Advanced","Umbrella Corporation",finance,Engaging,2017-08-03,NULL,NULL
0RH9W4E2,"Gladys Colclough","Melvin Marxen","Central","MG Special",Streethex,retail,Lost,2017-12-04,2017-12-24,0
0RI2I8ZL,"Lajuana Vencill","Dustin Brinkmann","Central","GTX Basic",NULL,NULL,Engaging,2017-07-28,NULL,NULL
0RL4RHQJ,"Gladys Colclough","Melvin Marxen","Central","GTX Plus Pro","Globex Corporation",technology,Won,2017-06-12,2017-06-25,6365
0RLU8I9Q,"Jonathan Berthelot","Melvin Marxen","Central","GTX Basic",NULL,NULL,Prospecting,NULL,NULL,NULL
0RNYAI6O,"Darcel Schlecht","Melvin Marxen","Central","MG Special",Statholdings,employment,Lost,2017-03-27,2017-04-07,0
0S4K915N,"Kary Hendrixson","Summer Sewald","West","GTX Basic",Konex,technology,Lost,2017-03-29,2017-05-20,0
0S6OQ9AO,"Marty Freudenburg","Melvin Marxen","Central","GTX Plus Basic",NULL,NULL,Engaging,2017-07-24,NULL,NULL
0SD3OBQI,"Boris Faz","Rocco Neubert","East","GTX Plus Basic",Konex,technology,Lost,2017-09-26,2017-11-06,0
0SIFT5DE,"Marty Freudenburg","Melvin Marxen","Central","MG Advanced",Rangreen,technology,Lost,2017-09-26,2017-10-04,0
0SIWRBDT,"Daniell Hammack","Rocco Neubert","East","GTX Plus Basic",Konex,technology,Won,2017-08-08,2017-12-22,1135
0SMQAD34,"Darcel Schlecht","Melvin Marxen","Central","MG Advanced",Domzoom,entertainment,Lost,2017-04-06,2017-04-08,0
0SPX7FIJ,"Violet Mclelland","Cara Losch","East","MG Advanced","Vehement Capital Partners",finance,Lost,2017-08-20,2017-09-06,0
0SQM849O,"Cassey Cress","Rocco Neubert","East","GTX PRO",Xx-zobam,entertainment,Won,2017-10-17,2017-10-29,5144
0SSUR0IY,"Kary Hendrixson","Summer Sewald","West","GTX Basic",Hottechi,technology,Lost,2017-08-18,2017-11-14,0
0STR2QEA,"Corliss Cosme","Cara Losch","East","GTX Plus Pro",Inity,marketing,Engaging,2017-05-25,NULL,NULL
